name,latitude,longitude
Ganesh Mandir Bus Stop,19.2157363,72.8230081
Sector 2 Bus Stop,19.2154906,72.8253061
Lokhandwala Link Road,19.1413516,72.831696
Mulund West Check Naka,19.1830083,72.9536289
Madh Jetty,19.1446116,72.8019073
Khodadad Circle,19.0170595,72.8474403
Agar Bazaar,19.0186865,72.8336046
Ravindra Natya Mandir,19.0153724,72.8298764
Mount Mary Steps,19.0481917,72.8250874
Dindoshi,19.1758267,72.8655041
children's home,19.0426822,72.9287838
children's home,19.0428409,72.9286705
Bharat Nagar,19.125318,72.822444
Dr Shyama Prasad Mukherjee Chowk,18.9258816,72.8331644
Dr Shyama Prasad Mukherjee Chowk,18.9262672,72.8316292
Dr Shyama Prasad Mukherjee Chowk,18.9263017,72.8313888
Churchgate,18.9329613,72.8287391
Bus 35 to Int. Airport,19.1008705,72.8446082
Bharat Nagar,19.1253791,72.8225834
Natasha Tower,19.1265274,72.8212852
Orkay,19.121425,72.8706529
Gautam Nagar,19.1185973,72.8701515
C Cross Road,19.1227917,72.8712977
Hill Road Garden,19.0526477,72.8241777
Hill Road Garden,19.0518136,72.8241777
St. Baptist House,19.0480965,72.8258507
Everard Nagar,19.0510806,72.8751884
Everard Nagar,19.0511591,72.8754147
Everard Nagar,19.0505635,72.8749009
Hiranandani Meadows,19.2277842,72.9697028
Muchhala College,19.2628588,72.9683276
Muchhala College,19.2628978,72.9684542
Suvidya High School,19.2294844,72.8285292
Citi Bank BKC,19.0685222,72.8677446
Citi Bank BKC,19.068917,72.8677425
MTNL Telephone Exchange BKC,19.070705,72.8714701
MTNL Telephone Exchange BKC,19.0711079,72.8715467
Shankar Mandir Stop,19.0284541,72.8974533
Four Bungalows,19.1300324,72.8257946
Balakanji Bari,19.0846764,72.8327654
Postal Colony,19.0615161,72.8934087
Postal Colony,19.0612837,72.893718
Shivaji Nagar Bus Terminus,19.0604104,72.9256386
Chembur Naka,19.0542102,72.8934237
Kumbharwada,19.0541889,72.8919114
Shankar Deol,19.0289047,72.8972115
cheeta camp,19.0384776,72.9446669
trombay bus stop..,19.0342614,72.9494324
Shreyas Cinema,19.0938693,72.9129053
GTB Nagar bustop,19.0375439,72.8660211
Lokmanya Tilak hospital,19.0372203,72.8614909
Ninety Feet Jhangri Masjid,19.0638119,72.9284627
Tembhipada Police Chowki,19.1551631,72.9291525
Mohete Patil,19.0534061,72.9351532
New Gautam Nagar Bus Stop,19.0592485,72.9138517
Priyadarshini Bus Stop,19.052385,72.8797934
Priyadarshini,19.0526133,72.8795023
Nehru Nagar- Kurla,19.0617135,72.8837422
Kurla ST Depot,19.0581845,72.8828625
Kurla S T Depot,19.0566368,72.8839847
Shiv Shrusti,19.05534,72.8827444
Priyadarshini Chunabhatti,19.0538077,72.8810985
Shiv Shrusti,19.0551068,72.8823689
Priyadarshini,19.0530974,72.8801854
S.G.Barve Marg Jun.(Thakkar Bappa),19.0577155,72.8866524
Kamgaar Nagar,19.0591834,72.8855608
S.G.Barve Marg Jun (Thakkar Bappa ),19.0577079,72.8867168
Kamgaar Nagar,19.0604559,72.8859707
S.G.Barve Marg Jn.,19.0574236,72.8878253
S.G.Barve Marg Jn.,19.0571586,72.8882584
laalubai bus stop,19.0532391,72.9272898
Wadala Depot,19.014855,72.8524232
Wadala Depot,19.0146931,72.8527142
Sharada Cinema- Dadar,19.0141752,72.8462562
Railway Vasahat,19.0555695,72.9334422
Bus stop,19.0497076,72.9269083
asisi nagar bus stop,19.0606584,72.9121226
deonar colony bus stop,19.0541665,72.9234807
colony bus stop,19.0557346,72.922
Narayana Guru,19.0610068,72.909099
jafary bus stop,19.0675626,72.920868
Gavan Pada,19.1728787,72.961446
Mulund Station (East),19.1713923,72.9582144
L.I.C. Colony,19.2426204,72.8520198
Bhagwati Hospital,19.2401299,72.8544811
Bhagwati Hospital,19.2404837,72.8546667
Sawarkar Nagar,19.2059129,72.9542957
Yashodham Nagar,19.2082381,72.9547561
Road Number 16,19.1935175,72.9535565
Road Number 16,19.1937177,72.953751
Sheetal Bus stop,19.0822198,72.8820808
Kapadia Nagar,19.075081,72.8726577
Gujarat Society,19.0969116,72.851357
Gujarat Society,19.0968975,72.8514137
Domestic Airport,19.0923948,72.8476959
Naik Bus Stop,18.9411989,72.8295989
Bainganwadi,19.0590268,72.9243739
Mayors Bungalow,19.0285848,72.8374441
Bandra Station Road (W),19.0535401,72.8380674
P.Mohd Rafi Chowk,19.0514594,72.8383231
Bandra Station Road (W),19.0545381,72.8376574
Bandra Talao,19.0576069,72.8367365
BEST Quarters,19.153788,72.8388106
BEST Quarters,19.1537756,72.8389945
BEST Nagar,19.1531908,72.8418998
Bhagat Singh Nagar,19.1553842,72.8364691
Oshiwara / Goregaon,19.1526529,72.8357139
Goragaon Depot,19.1546032,72.8353435
Siddarth Nagar / Vivek College,19.1590341,72.8431734
Motilal Nagar Post Office,19.1590964,72.8404664
Shastri Nagar,19.1600204,72.8357679
Shastri Nagar,19.1602875,72.8349201
Vivek College,19.1585064,72.8436438
Shetty Vidyalay,19.1157549,72.9059323
Kokan Nagar,19.1462404,72.9289053
Chembur Colony,19.0440704,72.8935618
sathe nagar bus stop,19.0563052,72.9300455
sandu wadi,19.0533797,72.8974857
thakkar Bappa colony,19.0588081,72.8870031
thakkar Bappa colony,19.0588043,72.8871131
Bhagat Singh Nagar,19.1574924,72.8351265
neeta volvo,19.0529281,72.8991655
N G ACHARYA COLLEGE BUS STOP,19.0585892,72.9078559
dadoji kondev nagar(khardev nagar),19.0570053,72.9096184
ishwar nagar stop,19.1443582,72.9343821
Ghatkopar Station,19.0891525,72.9074443
marol maroshi,19.118084,72.8801296
New DN Nagar,19.1183701,72.8297505
Indian Oil Nagar,19.1275501,72.8311016
Shastri Nagar,19.1593202,72.83632
Kalanagar Bus Station,19.0534895,72.8470962
Bradma Compound,19.1960481,72.9550002
Bradma Compound,19.1959898,72.9550243
Ambika Nagar,19.1976312,72.9558773
Ambika Nagar,19.1976008,72.95577
Kamgar Hospital,19.2037497,72.9541539
Sawarkar Nagar,19.2059344,72.9542089
Vaishali Nagar,19.1870693,72.9458731
Agriculture,19.2000566,72.9538617
Agriculture,19.2001883,72.9540334
Passport Office / M.I.D.C.,19.1911655,72.9555006
Hong Kong Bank,19.0603076,72.8295088
Dr.Cooper Hospital,19.10773,72.8368277
PANCH RASTA,19.176391,72.9525539
Manpada,19.2353185,72.9759496
Teen Hath Naka,19.1888027,72.9633143
Hospital,19.1720086,72.9599368
Hospital,19.1719242,72.9600031
Mulund Station (East),19.1716515,72.958123
Godrej Bus Stop Gate 3,19.1036419,72.9209927
Brahmand Phase 6,19.2466712,72.9847606
Jai Bhawani Nagar,19.201839,72.9537029
CSMI Airport Terminal 2,19.1013571,72.8725934
Manpada,19.2353564,72.9762983
Kasarvadavali Naka,19.2695462,72.9652023
Moti Mahal,19.0595311,72.832103
Moti Mahal,19.0594059,72.832545
Moti Mahal,19.0605962,72.8343053
Moti Mahal,19.0602239,72.8343003
Vasinaka Bus Stop ,19.0328611,72.8962597
Vasinaka Bus Stop ,19.0329566,72.8961803
Maharashtra Weight Bridge,19.1024908,72.888247
Shethiya Nagar,19.0980844,72.8878668
DSouza Nagar,19.0958775,72.8878013
Krishna Nagar,19.0998652,72.8879689
State Bank,19.1072697,72.8880578
Local Karyalay,19.1173423,72.8896404
Godrej East,19.0954163,72.9239959
Centaur Hotel,19.0976156,72.8535743
Neelkanth Heights,19.2205166,72.9605147
Kavyadhara,19.2283998,72.9823284
Sainath Nagar,19.2668893,72.9669569
Hawre City / Boriwade Gaon,19.2599582,72.9576677
St. Peter Church,19.0549428,72.8295354
Samaj mandir hall,19.039572,72.8689282
Shyam Nagar,19.1388906,72.8635167
Shyam Nagar,19.1390311,72.8634202
Majas Depot,19.1390436,72.864928
Majas Depot,19.1392575,72.8652021
Highland Park,19.1699829,72.9322278
Amar Nagar,19.1682012,72.9318798
Powai Chowk,19.1729199,72.9357134
Sri Chhatrapati Shivaji Maharaj Chowk,19.1760451,72.9377018
Mulund Court,19.1742351,72.9584853
Nahur Railway Station,19.1571337,72.9471269
Mulund-Goregaon Link Road,19.1600753,72.9469725
Ceat Company,19.1550979,72.9434127
Nahur Railway St.,19.1532517,72.9436928
Bhandup Village (W),19.1516463,72.9435228
Usha Nagar,19.1521752,72.9414982
Bhandup St (W),19.1453133,72.9351741
Janata Market Bhandup,19.1424705,72.9327314
Mangatram Petrol Pump,19.1390033,72.9306815
Birla Company,19.1351758,72.9288394
Dockyard kanjurmarg St,19.1321315,72.9272826
Huma Talkies,19.129266,72.9256346
Gandhi Nagar Vikhroli,19.1244444,72.925197
Hindustan Company,19.1218576,72.925386
Paper Mill,19.1177512,72.9259916
Hanuman Nagar Nahur,19.1576887,72.9435906
Asha & Usha Estates,19.1082752,72.9240782
Bhandup Pumping Centre,19.1544735,72.9581137
Bhandup Station (W),19.1453065,72.935179
Bhandup Village (W),19.1516367,72.9435238
Ceat Company,19.1551008,72.9433878
Cipla,19.1143057,72.9261236
Dockyard kanjurmarg St,19.1321171,72.9273332
Gandhi Nagar Vikhroli,19.1244467,72.9252165
Hindustan Company,19.1218513,72.925423
Huma Talkies,19.1288065,72.9255023
Kasturi Vidyalay,19.1523249,72.9404673
Mangatram Petrol Pump,19.1389677,72.9307625
Mulund-Goregaon Link Road,19.1600676,72.9469381
Nahur Railway Station,19.1532681,72.9436363
Nahur Railway Station,19.1570448,72.9471855
Paper Mill,19.1177519,72.9259945
Subhash Nagar Nahur,19.1592033,72.9438181
Vikhroli Station (W),19.1115664,72.9258072
Asha & Usha Estates,19.1083768,72.9241059
Vikhroli Depot,19.1028872,72.9194109
Vikhroli Depot,19.102926,72.9194443
Godrej Company (W),19.1048483,72.9216458
Asha & Usha Estates,19.1082931,72.9242238
Vikhroli Station (W),19.1115669,72.9258056
Cipla,19.1137102,72.9260658
Godrej Company (W),19.1047588,72.921816
Kasturi Vidyalay,19.1523403,72.9404669
Usha Nagar,19.152228,72.9415172
Hanuman Nagar Nahur,19.1576884,72.9435847
Bhandup Village Junction,19.1564231,72.9496471
Bhandup Pumping Centre,19.1543599,72.9580531
Bhandup Village Junction,19.1563749,72.949632
Nahur Railway Station,19.1571045,72.9470446
Nahur Railway Station,19.1570991,72.9470363
Mulund-Goregaon Link Road,19.160049,72.9468406
Mulund-Goregaon Link Road,19.1600435,72.9468205
Subhash Nagar Nahur,19.1592196,72.9440781
Subhash Nagar Nahur,19.1576804,72.9436069
Ceat Company,19.1551014,72.943361
Nahur Railway St.,19.1532572,72.9436115
Bhandup Village (W),19.1516235,72.9435206
Usha Nagar,19.1521076,72.9414585
Kasturi Vidyalay,19.1523081,72.9404679
Bhandup Police Station,19.1507502,72.937541
Bhandup Police Station,19.1507095,72.9377675
Bhandup St (W),19.145301,72.9351863
Janata Market Bhandup,19.1426606,72.9331656
Mangatram Petrol Pump,19.1389303,72.9309163
Birla Company,19.1337642,72.9285765
Dockyard kanjurmarg St,19.1320996,72.9273654
Huma Talkies,19.1291369,72.9257479
Gandhi Nagar Vikhroli,19.1244546,72.9253123
Gandhi Nagar Vikhroli,19.1244472,72.9253469
Hindustan Company,19.1222459,72.925463
Hindustan Company,19.1222469,72.9254849
Paper Mill,19.1177514,72.9261443
Paper Mill,19.1177524,72.9261248
Cipla,19.1143102,72.9262487
Cipla,19.1143114,72.9262704
Vikhroli Station (W),19.1115408,72.9259174
Vikhroli Station (W),19.1115374,72.9259404
Asha & Usha Estates,19.1083273,72.9241964
Godrej Company (W),19.104766,72.9217791
Huma Talkies,19.1292547,72.9256798
Godrej Company (W),19.1047986,72.921684
Ghatkopar Depot,19.0881574,72.9184442
Ghatkopar Depot,19.0850096,72.9192149
Gandhi Nagar,19.1249376,72.9258496
Bhandup Station (W),19.1461008,72.935759
Laxmi Nagar,19.089809,72.9156372
Birla Company,19.1364578,72.9296803
Meenatai Thakre Udyan,19.0995553,72.9176441
Shreyas Cinema,19.0929825,72.9123967
Parel Workshop,19.0011788,72.8379759
Wadala Depot,19.014729,72.8526203
Father Agnel Ashram,19.0446272,72.8188582
Churchgate Stn(E) Ahilyabai Holkar Chowk,18.9337346,72.8279106
Churchgate Station(E)/ Ahilyabai Holkar Chowk,18.9337263,72.8277714
Mulund Depot,19.1756748,72.9465497
Mahanagarpalika Udyan,19.1758888,72.9488708
KreSIT,19.1304509,72.9154149
IIT Main Gate,19.1259528,72.9162517
Devi Temple (No Service),19.124662,72.909673
Lake Gate (No Service),19.124787,72.911444
3 Step Park (No Service),19.125228,72.913521
Ananth Quarters (No Service),19.138064,72.916565
QIP (Only Night Service),19.134213,72.918286
KV / Infinity Corridor,19.129685,72.917807
YP Point,19.128459,72.919053
Central Library,19.134129,72.914159
H15,19.137522,72.915098
H1,19.135938,72.914621
H3 / Indoor Swimming Pool,19.135988,72.912338
Tansa /H4,19.135869,72.910525
H6 Canara Bank ATM,19.13515,72.90776
Campus Hub / H5,19.134293,72.910216
H11,19.133599,72.911906
SOM,19.131705,72.915187
H10,19.129561,72.91545
Canara Bank,19.129627,72.915387
Dean House,19.128396,72.915285
Vaishali Bhawan Bus Stop,19.2048992,72.83947
Parijat,19.0511192,72.830252
Sister Bungalow,19.048694,72.8212303
Lilavati Hospital,19.0515428,72.828892
Unit Trust of India,19.0501094,72.8285201
Unit Trust of India,19.0498093,72.8283994
Father Agnel Ashram,19.0452107,72.8193366
Bandstand,19.0463299,72.8195669
Sister Bungalow,19.0494007,72.8208327
Prarthnalaya,19.0507712,72.821807
Prarthnalaya,19.0517004,72.821692
Galaxy Apartments,19.0542349,72.8231
Hill Road Garden,19.0528633,72.8239857
Kandivali Village Bus Stop,19.2051921,72.8416408
St. Andrew's Church,19.0547676,72.8258007
Pali Naka,19.0596878,72.8277485
Kala Hanuman Mandir,19.2048421,72.847011
Bandra Bus Station West,19.0548058,72.839862
Bandra Bus Station West,19.054849,72.8398864
Bandra Talao,19.0585751,72.8377522
Bandra Talao,19.0590218,72.837626
Bandra Talkies,19.0593817,72.8359147
Bandra Talkies,19.059452,72.8356851
Hong Kong Bank,19.0595864,72.8297485
D'Monte Park,19.0596961,72.82622
D'Monte Park,19.059652,72.8260794
Perry Cross Rd,19.0598893,72.8239685
Perry Cross Rd,19.0599285,72.8237263
Additional Commissioner of Police,19.0636621,72.8228376
Additional Commisioner of Police,19.0625391,72.8222696
Rizvi Complex,19.0661453,72.8231354
Rizvi Complex,19.0662286,72.822963
Guru Nanak Road,19.0594575,72.8309751
Ashapura Mandir,19.2162985,72.9778138
Santacruz Police Station,19.0844125,72.8356615
Limani Bhuvan,19.092612,72.9118745
गोपाळ भुवन,19.0906887,72.909789
Shindewadi,19.0121195,72.8435305
Nalanda,19.0746327,72.9124309
Nalanda,19.0748248,72.9130319
Laxmi Nagar,19.0896512,72.9163397
Rani Laxmibai Chowk,19.0410681,72.8625603
Ramabai Nagar,19.0781809,72.9156786
Sahakar Nagar,19.0650193,72.8940799
Jeejabhai Bhosale Junction,19.0700586,72.9058934
Ghatkopar Depot,19.0861675,72.9197865
Kamani,19.0851403,72.887362
Khira Road,19.0853131,72.8379889
Parsi Colony Juhu,19.1019281,72.8332172
Juhu Hotel,19.1033266,72.826946
Prabhat Society,19.1181498,72.8288077
Abhishek Society,19.120773,72.826491
Juhu Hotel,19.1044841,72.8288128
Lakshmi Industrial Estate,19.1340732,72.8320025
Pratap Nagar,19.1410525,72.8566233
Durga Nagar,19.1382892,72.8721925
John Baptist Road,19.0477052,72.8255723
Bandstand,19.046883,72.8200868
I.C.I.C.I Junction,19.065606,72.8614781
Reserve Bank of India,19.0576673,72.8532337
ICICI/BKC Police Station Bus Stop,19.064987,72.861522
Diamond Market BKC,19.0666809,72.864856
Bharat Nagar,19.0617294,72.8594941
Income Tax Office,19.0589931,72.8547228
HP Officers Apartments,19.0661365,72.8578584
U.T.I Regional Education Centre,19.065943,72.8605843
Laxmi Tower,19.0634617,72.8643578
Tata Colony,19.0602846,72.8578319
MMRDA/Family Court,19.0560324,72.851465
Bharat Diamond Bourse,19.0640299,72.8655989
ICICI/BKC Police Station Bus Stop,19.064546,72.8613602
Mulund Court,19.1746086,72.9581103
Palm Acres Society,19.1729922,72.961493
Veena Nagar,19.1817165,72.9467249
Kheera Nagar,19.0869174,72.8380555
Subhash Nagar Nahur,19.1593435,72.9439918
Fortis Hospital,19.1622902,72.9423389
Annabhau Sathe Chowk,19.2008657,72.9490846
Namdev Wadi,19.1982186,72.9664949
Teen Hath Naka,19.1877203,72.9630069
Muktai Nagar,19.2109467,72.9771137
Flower Valley,19.2077273,72.9724033
Johnson Company,19.1867937,72.9614567
Kashish Park,19.1856977,72.9580383
Louis Wadi,19.1958212,72.9626241
Ralli Wolf,19.1709625,72.9405268
Duncan Company,19.16826,72.9393499
Hoechst Company,19.1658999,72.9383929
Bhandup Station (W),19.1460869,72.9360585
Asian Paints,19.1591964,72.9374411
Dr Hegdewar Chowk,19.1613591,72.9374966
Hoechst Company,19.1659793,72.9381735
R-Mall,19.2298989,72.9765478
Thakur Cinema Bus Stop,19.2096549,72.8729179
Dr Shyama Prasad Mukherjee Chowk,18.9244583,72.8321616
Jambhul Pada,19.0940331,72.898916
Nehru Nagar Bldg No 24,19.0612876,72.8800629
Nehru Nagar Municipal School,19.0608092,72.8814451
Khalsa College/Don Bosco School,19.0243843,72.8570683
Khodadad Circle,19.0190729,72.8489133
Khodadad Circle,19.0185815,72.8480762
Khodadad Circle,19.0170111,72.846933
Dadar Station (E),19.0179878,72.8444275
Dadar Station(E),19.0180011,72.8443808
Sainath Nagar,19.2668088,72.9666157
Mulund Railway Station (W),19.1736196,72.9561495
Shahu Market,19.1886435,72.9676777
Shahu Market,19.1886561,72.9675919
Goregaon Station(W),19.1649866,72.8510554
Goregaon Station,19.1647723,72.8508992
Jaslok Hospital,18.973443,72.8091464
Sujata Medicare (Sujata Gyanaecology Clinic);Dhake Colony,19.127861,72.8333795
Police Line,19.2011823,72.97958
Mhada,19.1337876,72.8257782
BSES,19.1347077,72.8251599
BSES,19.1345161,72.8252423
Picnic Cottage,19.1304492,72.8141686
Picnic Cottage,19.1308594,72.8139706
Juhu Hotel,19.1052897,72.827051
Juhu Bus Station,19.1065977,72.8269614
Juhu Bus Station,19.1067534,72.8268404
Juhu Bus Station,19.1076096,72.8267357
New DN Nagar,19.1181438,72.8299893
Municipal School,19.2285246,72.9673195
Vasant Vihar,19.2223782,72.9699761
Vasant Vihar,19.2224245,72.9698126
Holy Family Bus Stop,19.0547078,72.8274306
charkop sec 5,19.2154864,72.8256559
"Brahmand Phase 1,2",19.2410728,72.9814931
Dhokali Naka,19.2269387,72.9804003
Yashaswi Nagar,19.2182725,72.983627
Yashaswi Nagar,19.2184994,72.9833619
Shruti Park,19.2255516,72.9809407
Gawand Baug,19.221345,72.9591604
Subhash Nagar,19.2162719,72.973879
Tattvagyan Vidyapeeth,19.2231951,72.9776609
IIT Market Bus Stop,19.1274256,72.9190682
Upvan lake Voltas,19.223151,72.9575498
TISS Bus Stop,19.0454423,72.9136469
"Air Force Base, Kanherl Hills",19.2244979,72.9496019
Khewra Circle,19.2326406,72.9697918
Maharashtra Nagar (Thane),19.2298911,72.9699642
Maharashtra Nagar (Thane),19.2296295,72.9702345
Pawar Nagar,19.2289711,72.9663798
Kokanipada,19.2335744,72.9655135
R-Mall,19.2299191,72.9768643
Panchavati Society,19.22147,72.9663428
Pawar Nagar,19.2290045,72.9659517
Ravi Estate,19.2180914,72.9592962
Hiranandani Meadows,19.2283755,72.9695298
Anunagar,19.2582184,72.9750267
Voltas Gate,19.2170115,72.9716527
Goodluck Company,19.263692,72.9774463
Waghbil Village,19.266426,72.9833663
Parkwoods Society,19.2594625,72.9658455
Hawre City / Boriwade Gaon,19.2597233,72.9574142
Tikujini Wadi,19.2369887,72.9661562
Hill Garden,19.2347548,72.9661727
Garden Estate,19.2332977,72.967069
Happy Valley Circle,19.2366088,72.9705892
Central Maidan,19.1979375,72.9799998
Ambika Yoga Kutir,19.207231,72.9775348
Muktai Nagar,19.2107871,72.9772747
Ashapura Mandir,19.2160301,72.9782912
Kapurbawadi,19.2213538,72.9778567
Sahyog Society,19.2364834,72.9724064
Thane Station (W),19.1868728,72.9757359
Talao Pali,19.1941706,72.9767776
Tembhi Naka,19.197023,72.9772156
Municipal School,19.2018735,72.9778187
Uthalsar Naka,19.2029803,72.9780533
Ambika Yoga Kutir,19.207079,72.9773363
Kapurbawadi,19.2215919,72.9775482
Tattvagyan Vidyapeeth,19.2234205,72.9773229
Happy Valley Circle,19.2364302,72.9706295
Hiranandani Meadows,19.2278728,72.969912
Vivekananda Nagar,19.2229117,72.9699639
Gandhi Nagar,19.2182981,72.9702017
Voltas Gate,19.2172065,72.9716393
Lok Puram,19.2259388,72.9699933
Gandhi Nagar,19.2181841,72.9701333
Hyde Park,19.2265645,72.9739749
Tulsidham,19.2224567,72.9733641
Mulla Bagh,19.2395539,72.9758009
Azad Nagar Naka,19.2407634,72.9755418
Azad Nagar Naka,19.2405906,72.9758245
Vijay Garden / D-Mart,19.2596763,72.9698546
Vijay Garden / D-Mart,19.257824,72.96875
Panchamrit,19.2572565,72.9708344
Panchamrit,19.2571551,72.9704768
Waghbil Naka,19.2530084,72.9724863
Dongaripada,19.2508833,72.9734795
Brahmand Phase 5,19.245096,72.9837602
Swastik Park,19.2435437,72.9828134
St Xaviers High School,19.2407064,72.9773252
