,Name,longitude,latitude
105,NEW HIND MILL MHADA COLONY,72.841015,18.983779
106,BYCULLA STATION (E),72.833698,18.977604
107,BHARATMATA CINEMA,72.838433,18.994799
108,WADALA STATION (W),72.858886,19.016973
109,WADALA STATION (W),72.860167,19.0185
110,"INDIRA NAGAR, FROSBERRY ROAD",72.851905,18.986587
111,SEWREE KOLIWADA SCHOOL,72.856382,18.999902
112,A.H.ANSARI CHOWK (NAGPADA),72.832696,18.970602
113,A.H.ANSARI CHOWK (NAGPADA),72.832716,18.970268
114,AGRIPADA POLICE STATION,72.824031,18.977416
115,AIR CONDITION MARKET,72.814386,18.973515
116,ALANKAR CINEMA,72.826981,18.957579
117,"MAHARASHTRA COLLEGE, ALEXANDRA CINEMA",72.827353,18.967292
118,ANJUMAN COLLEGE,72.825648,18.96177
119,ANJUMAN COLLEGE,72.825848,18.961653
120,B.P.T COLONY (DOCKYARD RD),72.841485,18.964166
121,BHATIA HOSPITAL,72.812969,18.965049
122,BHATIA HOSPITAL,72.81295,18.964363
123,BREACH CANDY HOSPITAL,72.804948,18.972252
124,BYCULLA STATION (W),72.832169,18.977269
125,BYCULLA STATION (W),72.832179,18.976654
126,BYCULLA STATION (W),72.832037,18.976501
127,CHRIST CHURCH SCHOOL,72.83001,18.96976
128,DOCKYARD ROAD RAILWAY STATION,72.844484,18.966183
129,DARUKHANA,72.845316,18.971396
130,DARUKHANA,72.845221,18.971631
131,AZAD FLOUR MILL,72.841052,18.985369
132,GADI ADDA,72.853885,18.994646
133,MAHATMA GANDHI HOSPITAL (PAREL),72.840359,18.997384
134,MAHATMA GANDHI HOSPITAL (PAREL),72.840758,18.997809
135,GANESH TALKIES (LALBAUG),72.83461,18.989738
136,GHODAPDEV,72.842839,18.982073
137,HAKOBA,72.83877,18.988268
138,HINDMATA CINEMA (PAREL),72.84243,19.010034
139,HINDMATA CINEMA (PAREL),72.842069,19.009952
140,HINDMATA CINEMA (PAREL),72.841823,19.0096
141,HINDU CEMETARY(REAY ROAD),72.846964,18.977549
142,JACKERIA BUNDER,72.847667,18.99167
143,JAIHIND CINEMA,72.836503,18.984382
144,JAIHIND CINEMA,72.835981,18.984219
145,JIJAMATA UDYAN (BYCULLA),72.834104,18.979989
146,ROBERT GOMES CHOWK (BYCULLA-E),72.836316,18.980677
147,K.E.M.HOSPITAL,72.840755,19.001549
148,K.E.M.HOSPITAL,72.840746,19.00154
149,SHRAWAN YASHWANTE CHOWK (KALA CHOWKY),72.841525,18.987583
150,KALA CHOWKY POLICE STATION,72.84294,18.987972
151,MINT COLONY,72.844322,18.994424
152,T.B.HOSPITAL (KIDWAI NAGAR),72.850022,19.005214
153,LAL BAHADUR SHASTRI COLLEGE,72.859279,18.980583
154,LAL BAHADUR SHASTRI COLLEGE,72.858918,18.980619
155,SANT JAGNADE CHOWK (LALBAUG),72.83627,18.991717
156,SANT JAGNADE CHOWK (LALBAUG),72.836249,18.993804
157,MADKEBUWA CHOWK (PAREL),72.841038,19.004386
158,MADHAV NAGAR (WADALA-W),72.854349,19.011884
159,MADHAV NAGAR (WADALA-W),72.854549,19.011766
160,"MUSTAFA BAZAR, SAVLYA TANDEL CHOWK",72.839938,18.976253
161,NAIGAON POLICE COLONY,72.847171,19.007489
162,PRABODHANKAR THACKERAY UDYAN BUS STATION (SEWREE),72.852249,18.998196
163,MADKEBUWA CHOWK (PAREL),72.838466,19.002216
164,"PAREL VILLAGE, ST.GORA KUMBHAR CHOWK",72.846008,19.000613
165,REAY ROAD STATION,72.844211,18.975976
166,REAY ROAD STATION,72.844239,18.976536
167,"PARSI DHARMASHALA, OM CHAMBERS",72.805496,18.964645
168,PARSI GENERAL HOSPITAL,72.80365,18.968574
169,PLAY HOUSE,72.822458,18.961759
170,PRARTHANA SAMAJ,72.820334,18.958035
171,PREM NAGAR,72.794268,18.94972
172,PRIYADARSHINI PARK (NAPEAN SEA ROAD),72.799503,18.956853
173,PT.PALUSKAR CHOWK (OPERA HOUSE)- MARWADI VIDYALAYA,72.817381,18.957374
174,"RAILWAY HOTEL, CHARNI ROAD JUNCTION",72.819932,18.961387
175,SAIDHAM (GRANT ROAD),72.816906,18.958087
176,"A.H.ANSARI CHOWK, SALVATION ARMY",72.827662,18.973001
177,SHUKLAJI STREET,72.824628,18.966223
178,SIMLA HOUSE,72.802397,18.95803
179,ST.MARY S HIGH SCHOOL (MAZGAON),72.835137,18.969781
180,"TARDEO BUS STATION, RUSI MEHTA CHOWK",72.82087,18.963881
181,TWO TANKS,72.827699,18.961618
182,TWO TANKS,72.82825,18.961763
183,VATSALABAI DESAI CHOWK (HAJI ALI),72.811809,18.977055
184,VASANTRAO NAIK CHOWK (TARDEO),72.81512,18.969965
185,VASANTRAO NAIK CHOWK,72.815015,18.97039
186,"GULAL WADI, YADNIK CHOWK",72.828188,18.956424
187,ABDUL REHMAN SUFI GRD (ZULA MAIDAN),72.826701,18.974356
188,GRANT ROAD STATION (W),72.815913,18.964031
189,BHATIA HOSPITAL,72.813605,18.965375
190,SANT GADGE MAHARAJ CHOWK (SAATRASTA),72.827818,18.979732
191,SAIDHAM (GRANT ROAD),72.814673,18.982116
192,"GOVERNMENT COLONY, INDIAN MEDICAL ASSOCIATION CHOWK",72.815036,18.978701
193,DR.M.IQBAL CHOWK (J J HOSPITAL),72.831781,18.962796
194,LALA LAJPATRAI COLLEGE,72.814388,18.98217
195,BRADBURY MILL,72.827136,18.977401
196,VATSALABAI DESAI CHOWK (HAJI ALI),72.812036,18.978202
197,GRANT ROAD BRIDGE,72.815697,18.96188
198,GRANT ROAD BRIDGE,72.815915,18.961962
199,DONGRI JAIL,72.836513,18.959104
200,WADALA FLY OVER BRIDGE,72.860671,19.018798
201,ABHISHEK APARTMENTS,72.826165,19.12135
202,ABHISHEK APARTMENTS,72.826517,19.120799
203,ARYA SAMAJ MANDIR,72.834466,19.079447
204,"VILE PARLE (W), ASHOKA HALL",72.839544,19.099361
205,BALKANJI BARI SCHOOL,72.832837,19.084758
206,CHANDAN CINEMA,72.827003,19.114391
207,DR.COOPER HOSPITAL,72.836782,19.107662
208,DR.COOPER HOSPITAL,72.836925,19.10759
209,GAGANDEEP,72.836873,19.113588
210,GOLDEN TOBACCO (VILE PARLE-W),72.839569,19.104836
211,HARE RAM HARE KRISHNA (ISKCON),72.826243,19.113097
212,ERLA,72.840687,19.109263
213,J.V.P.D.BUS STATION,72.831862,19.116169
214,JUHU BEACH,72.828167,19.095736
215,JUHU SHOPPING CENTRE (JVPD),72.834847,19.115611
216,VESAVA LINK ROAD,72.824719,19.122948
217,J.V.P.D.BUS STATION,72.82922,19.116402
218,SAHAKARI BHANDAR (JUHU),72.83191,19.103593
219,NAWAB TANK MARG,72.844959,18.965551
220,NAWAB TANK MARG,72.845044,18.965533
221,DR.BHADKAMKAR ROAD,72.817217,18.960264
222,DR.M.IQBAL CHOWK (J J HOSPITAL),72.832104,18.962724
223,DR.M.IQBAL CHOWK (J J HOSPITAL),72.831914,18.96276
224,GARLIC COMPANY,72.828245,18.979118
225,GOL MANDIR (BHULESHWAR),72.828832,18.958087
226,ALANKAR CINEMA,72.824474,18.958047
227,NANA CHOWK,72.8147,18.961925
228,VATSALABAI DESAI CHOWK (HAJI ALI),72.812851,18.979901
229,VATSALABAI DESAI CHOWK (HAJI ALI),72.812785,18.979811
230,"PRARTHANA SAMAJ, HARKISHANDAS HOSPITAL",72.819745,18.958505
231,HYDERABAD ESTATE,72.800852,18.956014
232,J.MEHTA MARG (NAPEAN SEA ROAD),72.796223,18.951086
233,JOHAR CHOWK (BHENDI BAZAAR),72.830883,18.958097
234,KASTURBA GANDHI CHOWK (C.P.TANK),72.825986,18.954453
235,KHETWADI (GIRGAON),72.822461,18.958046
236,LALA LAJPATRAI COLLAGE,72.814673,18.982098
237,LALA LAJPATRAI COLLEGE,72.814331,18.982116
238,MAHARANA PRATAP CHOWK (MAZGAON),72.840532,18.968385
239,MADANPURA,72.828053,18.969876
240,MAFATLAL PARK,72.805763,18.973472
241,MAFATLAL PARK,72.80619,18.974683
242,MAHARANA PRATAP CHOWK (MAZGAON),72.840114,18.968113
243,MAZGAON COURT,72.83868,18.968718
244,MAZGAON COURT,72.838718,18.968826
245,MUMBAI CENTRAL DEPOT,72.824456,18.968202
246,MUMBAI CENTRAL STATION,72.822053,18.968715
247,MUMBAI CENTRAL STATION,72.820429,18.968804
248,MUMBAI CENTRAL STATION,72.820363,18.968054
249,MUMBAI CENTRAL STATION,72.82006,18.967666
250,NAGPADA POLICE STATION,72.829765,18.966652
251,NALANDA (CUMBALLA HILL),72.807982,18.967114
252,"NANA CHOWK, SHASTRI HALL",72.813283,18.963613
253,BHATIA HOSPITAL,72.812969,18.964435
254,NAVJEEVAN SOCIETY (TARDEO),72.819511,18.965316
255,"A.H.ANSARI CHOWK, NEW NAGPADA",72.832585,18.966582
256,"NOVELTY CINEMA, DR.BHADKAMKAR ROAD",72.81883,18.961847
257,PRIYADARSHINI PARK (NAPEAN SEA ROAD),72.79992,18.957133
258,"SANTACRUZ STATION (W) ROAD, KASHIBAI HOSPITAL",72.838034,19.08505
259,"PARASMANI, MADHUKUNJ SOCIETY",72.829949,19.107982
260,MANO-BINA APARTMENTS,72.840967,19.116157
261,MANO-BINA APARTMENTS,72.840815,19.116274
262,NANAVATI HOSPITAL,72.839519,19.095052
263,PARSI COLONY (JUHU),72.827551,19.09976
264,VILE PARLE (W),72.838849,19.101719
265,VILE PARLE (W),72.838754,19.101637
266,ROYAL HOTEL(JUHU),72.828175,19.092135
267,SANTACRUZ DEPOT,72.83859,19.091853
268,SANTACRUZ DEPOT,72.838685,19.091962
269,SANTACRUZ DEPOT,72.838761,19.092106
270,SANTACRUZ DEPOT,72.838381,19.091248
271,KAPADIA NAGAR,72.872704,19.075178
272,KUNCHI KURVE NAGAR,72.869938,19.077245
273,KURLA STATION (W),72.878998,19.067222
274,KURLA STATION (W),72.878865,19.067294
275,KURLA DEPOT,72.878823,19.075379
276,"RAJMATA AHILYABAI HOLKAR UDYAN, KURLA LION S PARK",72.872702,19.060804
277,LAXMANRAO YADAV MARKET (KURLA MARKET),72.879377,19.070375
278,"SANT ROHIDAS SABHAGURHA, KURLA POST OFFICE",72.874088,19.063976
279,"SANT ROHIDAS SABHAGURHA, KURLA POST OFFICE",72.874449,19.064699
280,KURLA STATION (W),72.879198,19.06724
281,MAHATMA PHULE BHAVAN (VIDYA NAGARI),72.856954,19.069198
282,MAHATMA PHULE BHAVAN (VIDYA NAGARI),72.85683,19.069234
283,MILAN SUBWAY,72.844112,19.090547
284,MILITARY OUTPOST (KALINA),72.859056,19.080573
285,MILITARY OUTPOST (KALINA),72.859085,19.080483
286,MOHAMMAD ESTATE,72.871204,19.073632
287,"MUKUND COMPANY, P.W.D.OFFICE (KAMANI)",72.889946,19.08468
288,NAVAPADA (VIDYAVIHAR-W),72.889938,19.082394
289,NEW AGRIPADA (SANTACRUZ-E),72.844,19.087367
290,NEW AIR INDIA QUARTERS,72.872274,19.080733
291,NEW AIR INDIA QUARTERS,72.872416,19.080824
292,OLD AGRA ROAD (KURLA-W),72.879724,19.079029
293,PHATAK TECHNICAL SCHOOL,72.8502167,19.0809
294,RAHAT APARTMENT,72.87965,19.075298
295,VAKOLA POLICE STATION,72.846029,19.080556
296,VIDYA VIHAR S.T.WORKSHOP,72.890812,19.080931
297,SAFED POOL (SAKI NAKA),72.883622,19.096593
298,SANTACRUZ STATION (E),72.842446,19.081069
299,SHEETAL CINEMA (KURLA-W),72.882146,19.082454
300,ST.MARY SCHOOL (KALINA),72.868531,19.078274
301,SUNDAR BAUG (KAMANI),72.887246,19.08682
302,VAKOLA POLICE STATION,72.85098,19.080234
303,VAKOLA PIPE LINE,72.853953,19.081221
304,VAKOLA PIPE LINE,72.853155,19.080805
305,VAKOLA PIPE LINE,72.8521,19.0807667
306,VAKOLA POLICE STATION,72.846759,19.08343
307,VAKOLA POLICE STATION (HANUMAN MANDIR),72.847227,19.079012
308,VAKOLA POLICE STATION,72.846313,19.082129
309,VIDYA NAGARI (KALINA),72.860971,19.073356
310,VIDYA NAGARI (KALINA),72.860809,19.073365
311,VIDYA NAGARI (KALINA) NEHRU LIBRARY,72.85872,19.071114
312,VIDYA NAGARI (KALINA) NEHRU LIBRARY,72.85892,19.071132
313,VIDYA VIHAR BUS STATION (W),72.89659,19.079958
314,ACHARYA VINOBA BHAVE NAGAR (KURLA-W),72.881513,19.073718
315,"NEHRU NAGAR  (KURLA-E), TILAK NAGAR JUNCTION",72.888138,19.068337
316,VIDYA NAGARI (KALINA),72.860923,19.073347
317,ACHARYA ATRE CHOWK (WORLI NAKA),72.816531,18.996907
318,ADARSH NAGAR (WORLI VILLAGE),72.822004,19.016434
319,ADARSH NAGAR (WORLI VILLAGE),72.823068,19.015929
320,AGAR BAZAR,72.833942,19.018619
321,SANTACRUZ POLICE STATION,72.835498,19.084344
322,SANTACRUZ POLICE STATION,72.834586,19.083277
323,SANTACRUZ POLICE STATION,72.834473,19.082943
324,SANTACRUZ STATION (W) ROAD,72.837829,19.080289
325,SHASTRI NAGAR (JUHU),72.834517,19.087243
326,SHOPPERS STOP (ANDHERI-W),72.843268,19.115381
327,SHOPPERS STOP (ANDHERI-W),72.842518,19.114568
328,STATE BANK (VILE PARLE-W),72.829852,19.110602
329,SUKHMANI SOCIETY,72.829859,19.113231
330,VAIKUNTH DHAM,72.823176,19.115367
331,VAIKUNTH DHAM,72.823234,19.115262
332,VILE PARLE (W),72.83939,19.102216
333,YASHODHAM,72.832901,19.088073
334,MITHIBAI COLLEGE,72.836937,19.103597
335,DR.COOPER HOSPITAL,72.837086,19.108945
336,BHARAT NAGAR (VESAVE),72.822579,19.125413
337,JUHU SHOPPING CENTRE (JVPD),72.835122,19.116062
338,"D.N.NAGAR, BARFIWALA VIDYALAYA",72.830497,19.123928
339,INDIAN OIL NAGAR (ANDHERI-W),72.831046,19.127307
340,ESIC NAGAR,72.829904,19.121979
341,AZAD NAGAR (KALINA),72.866688,19.078653
342,AMAR BRASS & STEEL COMPANY,72.865627,19.071976
343,"ANJANABAI MAGAR CHOWK, SWATANTRA SAINIK SURVE CHOWK",72.875604,19.071466
344,"ANJANABAI MAGAR CHOWK, SWATANTRA SAINIK SURVE CHOWK",72.875367,19.070011
345,BAIL BAZAR,72.881013,19.086438
346,BUDDHA NAGAR (KURLA-W),72.880326,19.073456
347,CHIRAG NAGAR,72.898117,19.08658
348,DATTA MANDIR (VAKOLA),72.8532333,19.083
349,DR.AMBEDKAR BHAVAN (VIDYA NAGARI),72.854653,19.072169
350,GAONDEVI JUNCTION (VAKOLA),72.8535667,19.0824
351,GOL BUILDING (KURLA-W),72.874998,19.067446
352,"INDIRA NAGAR (KAMANI), KHALAI VILLAGE",72.894366,19.081971
353,JARIMARI (SAKINAKA),72.883413,19.094687
354,KALINA,72.862897,19.077775
355,KALPANA CINEMA,72.878528,19.077285
356,KAMANI,72.885489,19.084669
357,KAMANI,72.886478,19.085103
358,KAMANI,72.887019,19.085085
359,KAMANI,72.887238,19.085067
360,PHOENIX MILL,72.825583,18.995107
361,"PODDAR HOSPITAL (WORLI), SIDDHARTH NAGAR",72.815671,19.002706
362,"PODDAR HOSPITAL (WORLI), SIDDHARTH NAGAR",72.815435,19.001296
363,POLICE CAMP (WORLI),72.814431,19.008053
364,PRABHADEVI,72.829396,19.013656
365,PRABHADEVI,72.828513,19.013285
366,PRABHADEVI,72.82834,19.015959
367,PRABODHANKAR THACKERAY CHOWK (DADAR-W),72.836562,19.020049
368,RANADE ROAD (DADAR-W),72.837559,19.021603
369,"DR.RAVINDRA KULKARNI CHOWK, SASMIRA (WORLI)",72.820356,19.010127
370,"MAHALAXMI RACE COURSE, ZENITH HOUSE",72.820297,18.979708
371,"MAHALAXMI RACE COURSE, ZENITH HOUSE",72.820819,18.979917
372,"AMBIKA MILL BUS STATION, H.U.RAKHANGI CHOWK",72.822816,18.988013
373,RAM GANESH GADKARI CHOWK (DADAR-W),72.840851,19.026086
374,RAM GANESH GADKARI CHOWK (DADAR-W),72.840927,19.026628
375,"PAREL S.T.DEPOT, SANT ROHIDAS CHOWK",72.832494,19.011563
376,"PAREL S.T.DEPOT, SANT ROHIDAS CHOWK",72.832503,19.011599
377,"PAREL S.T.DEPOT, SANT ROHIDAS CHOWK",72.831564,19.010532
378,"PAREL S.T.DEPOT, SANT ROHIDAS CHOWK",72.83242,19.009268
379,"JARIMARI MATA MANDIR, S.T.OFFICE (WORLI)",72.815697,18.995
380,"PAREL S.T.DEPOT, SANT ROHIDAS CHOWK",72.832734,19.00832
381,"PAREL S.T.DEPOT, SANT ROHIDAS CHOWK",72.833654,19.009684
382,SAYANI MARG,72.831516,19.010613
383,VEER HUTATMA BHAI KOTWAL UDYAN (PLAZA),72.842392,19.02297
384,"MAHAPOUR NIWAS, SHIVAJI PARK",72.83761,19.028794
385,"MAHAPOUR NIWAS, SHIVAJI PARK",72.837667,19.028831
386,"MAHAPOUR NIWAS, SHIVAJI PARK",72.837572,19.028885
387,SIMPLEX MILL,72.831236,18.97978
388,SHREE RAM MILL,72.822048,18.997362
389,STANDARD MILL,72.826652,19.012634
390,VEER HUTATMA BHAI KOTWAL UDYAN (PLAZA),72.84265,19.021073
391,VEER HUTATMA BHAI KOTWAL UDYAN (PLAZA),72.842137,19.021109
392,VEER HUTATMA BHAI KOTWAL UDYAN (PLAZA),72.842584,19.020902
393,"VENUS BUILDING, WATUMAL ENGG.COLLEGE",72.811796,19.002034
394,WORLI DAIRY,72.811496,18.998185
395,WORLI DEPOT,72.819888,19.013966
396,WORLI DEPOT,72.82004,19.013478
397,WORLI VILLAGE,72.820731,19.016713
398,KAMGAR STADIUM (PRABHADEVI),72.835362,19.011456
399,WORLI SEA FACE POST OFFICE,72.81885,19.016504
400,RAM GANESH GADKARI CHOWK (DADAR-W),72.839647,19.023981
401,PASSPORT OFFICE (WORLI),72.820916,19.011356
402,DADAR STATION (W),72.841645,19.018317
403,DADAR STATION (W),72.84137,19.018236
404,"VANITA SAMAJ, CHAITYABHOOMI",72.83687,19.027267
405,RAM GANESH GADKARI CHOWK (DADAR-W),72.837879,19.024467
406,WORLI SEA FACE (S),72.817645,19.015789
407,WORLI POST OFFICE,72.814956,19.005108
408,KOHINOOR PPL GATE NO.2,72.843132,19.02466
409,KOHINOOR PPL GATE NO.2,72.843019,19.0242
410,BABASAHEB WORLIKAR CHOWK (CENTURY BAZAAR),72.822349,19.012387
411,BABASAHEB WORLIKAR CHOWK (CENTURY BAZAAR),72.825863,19.012723
412,BAWLA MASJID,72.831187,18.994514
413,"S BRIDGE, MANDLIK CHOWK",72.831986,18.981036
414,"S BRIDGE, MANDLIK CHOWK",72.831881,18.98072
415,"CATERING COLLEGE, SURYAVANSHI HALL",72.834546,19.023146
416,CITYLIGHT CINEMA,72.841799,19.030044
417,CITYLIGHT CINEMA,72.841751,19.029845
418,CITYLIGHT CINEMA,72.841647,19.029809
419,KABUTARKHANA (DADAR-W),72.840154,19.018669
420,DADAR POLICE STATION,72.835379,19.014203
421,DEEPAK CINEMA,72.831994,19.006919
422,DHAIRYAVAN CHOWK,72.8427582,19.0313458
423,DOORDARSHAN (WORLI),72.818128,19.005942
424,DOORDARSHAN (WORLI),72.818014,19.005635
425,DAWN MILL,72.828097,18.998144
426,PRABHADEVI STATION (W),72.835337,19.007237
427,"FLORA HOTEL, WATUMAL ENGG.COLLEGE",72.813562,19.00321
428,"FLORA HOTEL, WATUMAL ENGG.COLLEGE",72.813771,19.00303
429,COMRADE GULABRAO GANACHARYA CHOWK,72.831108,18.985778
430,COMRADE GULABRAO GANACHARYA CHOWK,72.831061,18.98595
431,DAINIK SHIVNER,72.822705,18.99608
432,DAINIK SHIVNER,72.822467,18.996785
433,DAINIK SHIVNER,72.822403,18.993108
434,JIJAMATA NAGAR (WORLI),72.820105,18.993269
435,KAMALA MILL,72.82986,19.00296
436,"KHEDGALLI, SIDDHIVINAYAK MANDIR (PRABHADEVI)",72.832634,19.014716
437,LOWER PAREL STATION,72.831252,18.996899
438,LOWER PAREL STATION,72.83137,18.997043
439,LOWER PAREL STATION,72.831385,18.996782
440,LOWER PAREL WORKSHOP,72.831163,19.000901
441,MAHALAXMI STATION,72.824481,18.983397
442,MHATRE PEN COMPANY,72.837498,19.013563
443,N.M.JOSHI MARG POLICE STATION,72.831465,18.991353
444,NEHRU PLANETARIUM (WORLI),72.813783,18.98956
445,NARAYAN PUJARI NAGAR (WORLI),72.813797,18.994619
446,NATIONAL ASSOCIATION FOR BLIND (NAB),72.816234,19.011018
447,COMRADE P.K.KURNE CHOWK (WORLI ),72.820921,19.004896
448,COMRADE P.K.KURNE CHOWK (WORLI ),72.821054,19.005438
449,SHIVAJI PARK GYMKHANA,72.837128,19.025759
450,DADAR POLICE STATION,72.835199,19.014284
451,BALBHARATI (KANDIVALI-W),72.848761,19.200386
452,RANA & SONS,72.826835,19.210417
453,CHARKOP POLICE STATION,72.820898,19.214487
454,CHARKOP VILLAGE,72.821017,19.208715
455,"ADITYA APARTMENT, CHIKOOWADI",72.840741,19.220129
456,DAHANUKAR WADI,72.837237,19.20773
457,DAHANUKAR WADI,72.837836,19.207492
458,CHARKOP EKDANT SOCIETY,72.820267,19.217983
459,EKTA NAGAR (KANDIVALI-W),72.837074,19.213785
460,GANESH CHOWK,72.834353,19.2154
