name,latitude,longitude,tag
Prabhadevi,19.0073669,72.8357556,railway:stop
Grant Road,18.9633549,72.8158261,railway:station
Chembur,19.0612128,72.8975909,railway:station
Bhakti Park,19.028972,72.8775722,railway:station
Wadala Depot,19.0388244,72.8740249,railway:station
Main Portuguese gate to Bombay Castle,18.9319814,72.8377568,historic:ruins
Madh Fort,19.1324703,72.7946179,tourism:attraction
Chembur,19.0626076,72.9013796,railway:stop
Godavara (Gamadia) Agiary,18.9346524,72.8339357,amenity:place_of_worship
Hotel Adarsh Palace,18.9487539,72.8293568,tourism:hotel
Ruttonsee Mujee Fountain,18.9355978,72.8371376,historic:memorial
Bomanjee Hormasjee Wadia Memorial Clock Tower,18.9345311,72.8357563,historic:monument
Port Trust WWI Memorial,18.9340663,72.8401441,historic:monument
Hostel No. 5,19.1350214,72.9096978,tourism:hostel
Hostel No. 2,19.1364536,72.9125695,tourism:hostel
Hostel No. 3,19.1362317,72.9114868,tourism:hostel
Hostel No. 1,19.1362571,72.9139938,tourism:hostel
Hostel No. 10,19.1290631,72.9157813,tourism:hostel
Hostel No. 11,19.1329296,72.9118107,tourism:hostel
हाजी अली दर्गा,18.9828229,72.8089926,amenity:place_of_worship
भाऊ दाजी लाड संग्रहालय,18.9791636,72.8348012,tourism:museum
Shiv Temple,19.1243128,72.8360841,amenity:place_of_worship
Bhaucha Dhakka / Ferry Wharf,18.9569402,72.8495292,public_transport:station
Sewri,18.9987796,72.8544218,railway:station
Diamond,18.99282,72.8486524,tourism:hotel
Cotton Green,18.9871866,72.8438965,railway:station
Mira Road,19.2812755,72.855841,public_transport:stop_position
Borivali West,19.2298129,72.8471376,amenity:hospital
Mota Mandir,18.9539279,72.8289145,amenity:place_of_worship
Suryenarayan Mandir,18.958069,72.8260061,amenity:place_of_worship
Maa Hajjani Masjid and Dargah,18.9874184,72.8114617,amenity:place_of_worship
German Consulate General Mumbai,18.925359,72.8212466,office:diplomatic
Kazi Masjid,18.9553242,72.8310417,amenity:place_of_worship
Gol Deval,18.9580758,72.8281645,amenity:place_of_worship
Masjid,18.9574653,72.8365671,amenity:place_of_worship
Hotel Mogul Palace,18.9546342,72.8354513,tourism:hotel
Dawat-E-Islami Madani Murkaz,18.9554359,72.8361272,office:religion
Dhakhni Mohalla Masjid,18.9593695,72.8280732,amenity:place_of_worship
Saifee Ambulance,18.9599377,72.8314957,amenity:hospital
एटझ चाईम प्रार्थना हॉल;Dr M. Iqbal Chowk,18.9617015,72.8321028,amenity:place_of_worship
Dawni Masjid,18.9652609,72.8317756,amenity:place_of_worship
Choti Masjid,18.9635614,72.8293294,amenity:place_of_worship
Gateway of India - Mandwa Rewas Ferry Terminal,18.9229191,72.8345228,public_transport:station
Gateway of India - Elephanta Island ferry service,18.9217835,72.8347226,public_transport:station
Buddhist Temple,19.0063255,72.8412359,amenity:place_of_worship
Hotel Shantidoot,19.0084975,72.8405638,tourism:hotel
Carlton Hotel,18.9224055,72.8326985,tourism:hotel
Ratna Mahal,19.1083564,72.8587789,tourism:hotel
Peru Baug,19.1662452,72.8527827,highway:bus_stop
Goregaon Check Naka 1,19.1664594,72.8564089,highway:bus_stop
Goregoan Check Naka : 1,19.1654307,72.8586933,highway:bus_stop
Goodluck Company,19.2636426,72.9777448,highway:bus_stop
Sayyed Ashiq Shah Bukhari Dargah Masjid,18.9572985,72.8364554,amenity:place_of_worship
Khoja Jama Masjid,18.9565679,72.8363803,amenity:place_of_worship
St Ignatius Church Mandvi,18.9492688,72.8371321,amenity:place_of_worship
Hotel Lawrence,18.9278369,72.8326261,tourism:guest_house
Deonar Bus Depot Stop,19.0455264,72.9106774,highway:bus_stop
Deonar Bus Depot,19.0458076,72.9117996,highway:bus_stop
Landmark Heights Apartment Park,19.2845098,72.8740885,tourism:theme_park
Thakur Shopping Mall & Multiplex,19.2632484,72.8743808,shop:mall
Pradeep Society,19.1934946,72.9672874,highway:bus_stop
Aradhana Cinema,19.1927169,72.9683539,highway:bus_stop
"Bus #339 , 256",19.1127889,72.838226,highway:bus_stop
Syed Qadar Shah Vali,18.9420804,72.8272524,amenity:place_of_worship
YWCA - Lady Willingdon Hostel,18.9252691,72.8310128,tourism:hostel
St. Thomas Church,19.1681514,72.8497911,amenity:place_of_worship
Our Lady of the Rosary Church,19.1626888,72.8382771,amenity:place_of_worship
Siddarth Municipal Hospital,19.1597156,72.8399209,amenity:hospital
Dhokali Naka,19.2271616,72.9802672,highway:bus_stop
Kolshet Bus Depot,19.2440603,72.9963988,highway:bus_stop
Air Force,19.2405657,72.9921715,highway:bus_stop
Gaodevi Temple,19.1594331,72.8721816,amenity:place_of_worship
Royal Palms,19.1584711,72.8789953,public_transport:stop_position
Aarey Picnic Spot,19.1366368,72.8822677,tourism:picnic_site
Makhamali Talaav,19.1983533,72.9717513,highway:bus_stop
Khopat S.T. Terminus,19.2007343,72.9733089,highway:bus_stop
Gaondevi,19.1888892,72.9748275,highway:bus_stop
Bandra,19.0547734,72.8407919,railway:stop
City Palace,18.938201,72.8354677,tourism:hotel
CSMT,18.9408811,72.8362973,railway:stop
Dongaripada,19.2507342,72.9732294,highway:bus_stop
Waghbil Naka,19.252939,72.9721617,highway:bus_stop
"Brahmand Phase 1,2",19.2412987,72.9813729,highway:bus_stop
Azad Nagar,19.2394741,72.9804978,highway:bus_stop
Brahmand Nagar,19.2475499,72.9860185,highway:bus_stop
Dhanlaxmi Shopping,19.2476542,72.9778174,amenity:marketplace
Cargo Terminal,19.09544,72.8660044,aeroway:terminal
Statue of St. Sebastian,19.051094,72.825701,historic:memorial
Residency,18.9349748,72.8332409,tourism:hotel
Mancherji Edulji Joshi Statue,19.0175495,72.8491666,tourism:artwork
Omkareshwar Mandir,19.1121986,72.8508276,amenity:place_of_worship
Holy Spirit Hospital Stop,19.1269002,72.8672794,highway:bus_stop
Holy Family Church,19.1152427,72.8597103,amenity:place_of_worship
Jevan Vikas Hospital,19.1106501,72.8483274,amenity:hospital
Marol Depot,19.1179082,72.8657206,public_transport:station
Dr Kasbekar Sterling Hospital,19.0698454,72.9873953,amenity:hospital
Alliance Church,19.0754965,72.9878613,amenity:place_of_worship
"Big Bazzar, Kandivali",19.1900395,72.8591049,shop:mall
Amba Mata Mandir,19.16658,72.8464104,amenity:place_of_worship
Sai Leela Hotel,19.1633302,72.8509569,tourism:hotel
Matunga Road,19.0281035,72.8468876,railway:stop
Kurla East,19.0645019,72.8803229,public_transport:station
Vidyavihar,19.0794239,72.8973128,railway:stop
Trombay,19.033651,72.9503637,public_transport:station
shivagi nagar hospital,19.0511704,72.9226495,highway:bus_stop
Govandi,19.0549729,72.9157946,public_transport:stop_position
Pratistha,19.0539661,72.9111921,tourism:hotel
Kamat Plaza,19.0963374,72.8545012,tourism:hotel
Rediff.com,19.0419654,72.8429059,office:it
Airlines International,19.0843315,72.8441532,tourism:hotel
Apsara International,19.079788,72.8385825,tourism:hotel
Bandra Terminus,19.0629493,72.8415372,public_transport:station
Galaxy,19.0835291,72.8442623,tourism:hotel
Prince Palace,19.0810431,72.838974,tourism:hotel
Welco,19.0805429,72.840324,tourism:hotel
JOY Hospital,19.0558773,72.8973945,amenity:hospital
Inlaks Hospital,19.0466131,72.8964218,amenity:hospital
Hunuman Mandir,19.210638,72.8238855,amenity:place_of_worship
Charkop Market,19.2155689,72.8286214,amenity:marketplace
Charkop Market,19.2156554,72.8286186,highway:bus_stop
Charkop Gaon,19.2088598,72.820816,highway:bus_stop
Asmita Jyoti,19.1966762,72.8274867,highway:bus_stop
Siddhivinayak Temple,19.081512,72.9119623,amenity:place_of_worship
Vithal Rakhumai Mandir,19.261155,72.8597453,amenity:place_of_worship
Plot no.1;jafri schoole,19.0676018,72.9210453,highway:bus_stop
Shankar Deol,19.0285178,72.8985148,amenity:place_of_worship
"Ankit Fracture, Maternity and Surgical Hospital",19.2270454,72.8605924,amenity:hospital
Sea Green Hotel,18.9326798,72.8237555,tourism:hotel
Abbot Hotel,19.0736432,72.9969421,tourism:hotel
CAMP,19.0738276,72.8251752,office:studio
Dandpada Bus Stop,19.0750577,72.8262477,highway:bus_stop
InterContinental Hotel,18.9350805,72.8241417,tourism:hotel
HBCSE Hostel,19.0425272,72.9272843,tourism:hostel
Parle Tilak,19.1033544,72.8484748,highway:bus_stop
Parleshwar Mandir,19.1030172,72.845919,highway:bus_stop
Guru Prasad Soc.,19.103509,72.8501914,highway:bus_stop
Loop Gallery,19.1037194,72.8510068,tourism:viewpoint
Hanuman Road,19.1036685,72.8513743,highway:bus_stop
Datta Mandir,19.1038897,72.8525248,amenity:place_of_worship
Hanuman Mandir,19.1038099,72.853807,amenity:place_of_worship
Ganesh Mandir,19.2501683,72.9798523,amenity:place_of_worship
Rutu Estate / Municipal Commissioner House,19.2480867,72.9779885,highway:bus_stop
Khadi Bhandar,18.9366238,72.833975,highway:bus_stop
Guest House,19.1297012,72.9147401,tourism:guest_house
Dr Maitreyee Parulekar,19.0962884,72.8483799,amenity:hospital
Versova Jetty,19.1436311,72.8034266,public_transport:station
Basant,19.1631419,72.7901798,tourism:hotel
Bhatia Island,19.160137,72.7851986,tourism:hotel
Ruskon,19.1636802,72.7904156,tourism:hotel
Vyas Wadi,19.1443977,72.7896652,tourism:hotel
Parsi Colony Juhu,19.0997323,72.8276303,highway:bus_stop
Wadala Depot,19.0147784,72.8523974,public_transport:station
Khardanda,19.0747178,72.8228706,highway:bus_stop
Shri Dandeshwar Shankar Mandir,19.074692,72.8235279,amenity:place_of_worship
Sherli Gaon,19.0708221,72.8229438,highway:bus_stop
Benazeer,18.9350404,72.833542,tourism:hotel
Mysore Colony,19.0277168,72.8914397,railway:station
Mulund,19.1721762,72.9562383,railway:station
Municipal School,19.2286267,72.96736,highway:bus_stop
Ghatkopar Station (W),19.0875403,72.9081633,public_transport:station
gadakary bus stop,19.0158884,72.9077266,highway:bus_stop
Samyukta Maharashtra Daalan,19.0279945,72.8365824,tourism:museum
Chhatrapati Shivaji Maharaj,19.0278184,72.8372671,tourism:artwork
Mid Town,19.1204453,72.844871,tourism:hotel
Jogeshwari,19.1348994,72.8488199,office:coworking
Civil Court,19.1965215,72.9772907,highway:bus_stop
Court Naka,19.1970281,72.9785836,highway:bus_stop
Sahar Cargo Complex,19.0975373,72.8652877,public_transport:station
Hilltop,19.0101,72.8179021,tourism:hotel
King's Circle,19.0316822,72.8577375,railway:station
bus,19.0467441,72.9077411,highway:bus_stop
Malhar,19.0597045,72.8976517,tourism:hotel
Majas Depot,19.1389362,72.8647596,public_transport:station
Gokulanand Hotel,19.2439468,72.8648572,tourism:hotel
Nahur Railway Station,19.1545592,72.947053,highway:bus_stop
Civil Hospital,19.1990126,72.977455,highway:bus_stop
Sujay Hospital,19.116234,72.8339632,amenity:hospital
Jain Temple,19.1032034,72.8464716,amenity:place_of_worship
Anand Bhavan,19.113053,72.8256428,tourism:guest_house
Lakadi Pool Market,19.2101186,72.9535254,amenity:marketplace
MHB Colony,19.2304356,72.8384919,highway:bus_stop
Bethany Hospital,19.2198203,72.9618661,amenity:hospital
Vartak Nagar Naka,19.2099716,72.9617643,highway:bus_stop
Devdaya Nagar,19.2147003,72.9582095,highway:bus_stop
Express Inn,19.2837937,72.9051116,tourism:hotel
Hotel Fountain,19.2847096,72.9043185,tourism:hotel
Powai Dental Clinic,19.1246531,72.9172844,amenity:hospital
Powai Hospital,19.124088,72.9164511,amenity:hospital
Royal Inn,19.2075411,72.9774272,tourism:hotel
Hotel Capitol,19.2153727,72.9775249,tourism:hotel
Hotel Lerida,19.2086291,72.9737343,tourism:hotel
Residence Inn Powai,19.1346222,72.8987555,tourism:hotel
Babhai Naka,19.228336,72.848131,highway:bus_stop
Vazira Naka,19.2289622,72.8448146,highway:bus_stop
Don Bosco School,19.22961,72.842356,highway:bus_stop
Rajendra Nagar,19.220945,72.856423,highway:bus_stop
Gundavali,19.120531,72.855597,highway:bus_stop
Sailee Hospital and Diagnostic Center,19.2277332,72.8406807,amenity:hospital
Louis Wadi,19.1962955,72.9623222,highway:bus_stop
Nitin Junction,19.1990546,72.9635255,highway:bus_stop
Nitin Company,19.199131,72.9631504,highway:bus_stop
Khopat,19.2034255,72.9718687,highway:bus_stop
Abhiruchi,19.2048915,72.9779517,highway:bus_stop
Ambe Ghosale Lake,19.2050729,72.9780954,highway:bus_stop
Rabodi,19.2059468,72.9824728,highway:bus_stop
Majiwada Naka,19.2146243,72.9774544,highway:bus_stop
Subhash Nagar,19.2164315,72.9740037,highway:bus_stop
Bethany Hospital,19.2203638,72.9618162,highway:bus_stop
Jawahar Nagar,19.2204748,72.97021,highway:bus_stop
Yeoor Gaon,19.2252703,72.9497466,highway:bus_stop
Lok Puram,19.2257553,72.9701343,highway:bus_stop
Patli Pada,19.2464476,72.9759993,highway:bus_stop
नॅशनल गॅलरी ऑफ मॉडर्न आर्ट,18.9258376,72.8313854,tourism:museum
Navy Nagar Colaba,18.9074266,72.8083029,highway:bus_stop
BEST Bus Stop,19.1349864,72.8103871,highway:bus_stop
H12,19.1355677,72.9055659,highway:bus_stop
Highland Park Bus Stop,19.1455779,72.8289055,highway:bus_stop
Elephanta Caves,18.9630478,72.931902,tourism:attraction
Elephanta Caves Jetty,18.9723961,72.9308682,public_transport:station
Ramakrishna Mission Bus Stop,19.0751475,72.8342923,highway:bus_stop
Arya Samaj Mandir,19.0792439,72.8344425,highway:bus_stop
Linking Road Khar,19.0722176,72.8341466,highway:bus_stop
Shoppers Stop,19.0610627,72.8362964,highway:bus_stop
Mahim Church,19.0412534,72.8409951,highway:bus_stop
Mahim,19.0398372,72.8416791,highway:bus_stop
Shiv Mandir,19.1293177,72.8172732,amenity:place_of_worship
Juhu Versova Link Road,19.1219328,72.8257301,highway:bus_stop
New DN Nagar,19.1185196,72.8287523,highway:bus_stop
Abhishek Society,19.1209933,72.8265373,highway:bus_stop
Juhu Circle,19.1155173,72.8300035,highway:bus_stop
Shri Krishna Mandir,19.0514705,72.86736,amenity:place_of_worship
Madh Market,19.1417056,72.7897647,highway:bus_stop
Gyan Kendra School,19.1323644,72.8255906,highway:bus_stop
Mhada,19.1339249,72.8255967,highway:bus_stop
The Westin Mumbai Garden City,19.1723617,72.8605305,tourism:hotel
Khadi Bhandar खादी भंडार,18.937494,72.834095,highway:bus_stop
Hutatma Chowk,18.933307,72.831377,highway:bus_stop
Hutatma Chowk/Siddharth College,18.9341053,72.8324982,public_transport:station
Lalsahi Dham Mandir,19.143004,72.8212585,amenity:place_of_worship
Pali Mala,19.0620676,72.8295332,highway:bus_stop
Mahatma Gandhi,18.9283598,72.8249692,historic:memorial
Khadi Bhandar,18.9376489,72.8343146,public_transport:station
Al Haram,18.9548493,72.8346213,tourism:hotel
Al Mazin,18.9552772,72.8370461,tourism:hotel
Mumbai Central,18.9700757,72.8195845,railway:stop
Bhimrao Ramji Ambedkar memorial,18.9262387,72.829652,historic:memorial
Sandhurst Road,18.9609243,72.8393719,railway:station
Byculla,18.9765515,72.8326776,railway:stop
Dr Manveen Gill,19.132483,72.8274922,amenity:hospital
Office,19.1368193,72.8369499,office:company
Mavis,19.2291897,72.9483531,highway:bus_stop
Runwal Garden City,19.2230157,72.9881827,highway:bus_stop
Yeoor,19.2401909,72.9432964,highway:bus_stop
Shreerang Society,19.2060304,72.980791,highway:bus_stop
Gokul Nagar,19.2085126,72.9771727,highway:bus_stop
Gokul Nagar,19.2092674,72.9770306,public_transport:platform
Namdev Wadi,19.1982967,72.9665015,highway:bus_stop
Uran,18.9145979,72.9277423,public_transport:station
Ameeta patil  Nursing Home,19.0622247,72.8997288,amenity:hospital
Shivaar garden,19.288836,72.8651965,public_transport:stop_position
fhatak majid,19.0672846,72.8827596,amenity:place_of_worship
Nehru Tarangan,18.9889131,72.8137151,highway:bus_stop
Nehru Planetarium,18.9882372,72.8136659,highway:bus_stop
Shangrila,19.0440479,72.8662694,tourism:hotel
Lotus Court,18.9867462,72.8143166,highway:bus_stop
Vihar Lake,19.1397456,72.8982965,highway:bus_stop
NITIE,19.1349868,72.8997985,highway:bus_stop
Ramada Hotel,19.1365991,72.8993659,highway:bus_stop
Ramada Powai Hotel & Convention Center,19.1359551,72.8990184,tourism:hotel
Jeejabhai Bhosale Junction,19.0693281,72.9055478,highway:bus_stop
Chedda Nagar,19.0687175,72.904372,highway:bus_stop
Mar Gregorios Orthodox Syrian Church,19.0501484,72.9020969,amenity:place_of_worship
Dr. Babasaheb Ambedkar Udyan/Powai Gardens,19.1256563,72.8948183,highway:bus_stop
Indian Register of Shipping,19.1234059,72.896905,office:administrative
Mata Ramabai B Ambedkar Hospital,19.0557141,72.8946408,amenity:hospital
Ganesh Mandir Bus Stop,19.2157363,72.8230081,highway:bus_stop
Sector 2 Bus Stop,19.2154906,72.8253061,highway:bus_stop
Shree Ram Mandir,19.1653481,72.8319181,amenity:place_of_worship
Lokhandwala Link Road,19.1413516,72.831696,highway:bus_stop
J.V.P.D. Bus Station,19.1162312,72.831039,highway:bus_stop
VMall,19.2118189,72.8673877,shop:mall
United 21,19.2077016,72.9776768,tourism:hotel
Hyat Hosptal,19.1806805,72.8630713,amenity:hospital
ON-LYNE Comtech (I) Pvt. Ltd.,19.1347102,72.8370295,office:yes
Worli Village,19.0169158,72.8200827,public_transport:station
Mulund West Check Naka,19.1830083,72.9536289,highway:bus_stop
Madh Jetty,19.1446116,72.8019073,highway:bus_stop
Dockyard Road,18.9674767,72.8445477,railway:station
Reay Road,18.9775506,72.8441011,railway:station
Currey Road,18.9945514,72.8328707,railway:station
King's Circle,19.0320365,72.857439,railway:stop
Khodadad Circle,19.0170595,72.8474403,highway:bus_stop
Agar Bazaar,19.0186865,72.8336046,highway:bus_stop
Ravindra Natya Mandir,19.0153724,72.8298764,highway:bus_stop
Mount Mary Steps,19.0481917,72.8250874,highway:bus_stop
Dindoshi,19.1758267,72.8655041,highway:bus_stop
Vesave/Yari Road Bus Station,19.1395596,72.8084624,public_transport:stop_position
Anushaktinagar Mosque,19.038208,72.9208801,amenity:place_of_worship
children's home,19.0426822,72.9287838,highway:bus_stop
Gender & Science Exhibit,19.0421717,72.9280492,tourism:attraction
Ram Temple,19.047166,72.9303725,amenity:place_of_worship
Bharat Nagar,19.125318,72.822444,highway:bus_stop
Dragonfly,19.1109356,72.8630387,tourism:hotel
City Centre Mall,19.1623421,72.8457567,shop:mall
Churchgate,18.9331079,72.8285954,public_transport:station
Dr Shyama Prasad Mukherjee Chowk,18.9258816,72.8331644,highway:bus_stop
Churchgate,18.9329613,72.8287391,highway:bus_stop
Mankhurd,19.0485178,72.9323356,railway:station
Nahur,19.1550738,72.9469187,railway:station
Bandra,19.0549792,72.8402203,railway:station
Byculla,18.9766219,72.8327936,railway:station
Charni Road,18.9518437,72.8182401,railway:station
Dadar,19.0177342,72.8437523,railway:station
Mahim Junction,19.0406634,72.8466038,railway:station
Marine Lines,18.945764,72.8237193,railway:station
Mumbai Central,18.9695855,72.8193152,railway:station
Vile Parle,19.0999098,72.8440038,railway:station
Bus 35 to Int. Airport,19.1008705,72.8446082,highway:bus_stop
Bharat Petroleum,19.0352839,72.8955553,railway:station
VNP & RC Marg Junction,19.0526419,72.8942789,railway:station
Barclays,18.9911407,72.8136375,office:financial
Chuna Bhatti,19.0517703,72.8690974,railway:station
Sion,19.0465213,72.8632834,railway:station
Kurla Junction,19.0652797,72.8793805,public_transport:station
Fortune Park Lakecity,19.2097786,72.9729516,tourism:hotel
Natasha Tower,19.1265274,72.8212852,highway:bus_stop
Shankar,19.1932985,72.9751867,amenity:place_of_worship
Orkay,19.121425,72.8706529,highway:bus_stop
Gautam Nagar,19.1185973,72.8701515,highway:bus_stop
C Cross Road,19.1227917,72.8712977,highway:bus_stop
YMCA International House,18.9720126,72.8233555,tourism:hotel
Panchasar derasar,19.1860125,72.8528843,amenity:place_of_worship
Cannon 1,18.9620892,72.9285928,tourism:attraction
Cannon 2,18.9602159,72.9288297,tourism:attraction
Bombay Skyline viewpoint,18.9607979,72.9288871,tourism:viewpoint
Hill Road Garden,19.0526477,72.8241777,highway:bus_stop
मुंबई में जापान के महावाणिज्य दूतावास,18.975318,72.8111641,office:diplomatic
St. Baptist House,19.0480965,72.8258507,highway:bus_stop
St John The Baptist Shrine/Oratory,19.0481951,72.8258974,tourism:attraction
Shiv Sena Branch 96,19.0499171,72.8263727,office:political_party
Mysore Colony,19.0276972,72.8914416,railway:stop
Bharat Petroleum,19.0352809,72.8955367,railway:stop
Wadala Depot,19.0388237,72.874005,railway:stop
Fertilizer Township,19.0438752,72.8934364,railway:stop
VNP & RC Marg Junction,19.0526221,72.8943435,railway:stop
Rameshwar Mandir,19.0540784,72.8754063,amenity:place_of_worship
Everard Nagar,19.0510806,72.8751884,highway:bus_stop
safecomputing.in,19.2259024,72.9670907,office:educational_institution
Hiranandani Meadows,19.2277842,72.9697028,highway:bus_stop
Muchhala College,19.2628588,72.9683276,highway:bus_stop
G Grop Tech Park,19.2663428,72.9653821,office:it
"Gurudwara Guru Singh Sabha, koperKhairane",19.1000811,72.9983561,amenity:place_of_worship
Azad Nagar,19.1270227,72.8370213,railway:stop
Asalpha,19.0967391,72.894326,railway:stop
Mahalaxmi Mandir,18.9551014,72.8220083,amenity:place_of_worship
Suvidya High School,19.2294844,72.8285292,highway:bus_stop
Mangal Murti Hospital and Polyclinic,19.2263008,72.8278848,amenity:hospital
Kerala Masjid,19.0393285,72.9487422,amenity:place_of_worship
